doi	title	issue	subject_classification	sample_size_category	extraction_confidence	sample_size_raw
10.1038/s41586-025-09881-4	Genetic switch between unicellularity and multicellularity in marine yeasts	8103	life_science	effect_size_estimate	high	No predetermined sample size was used for statistical analysis. Sample sizes were chosen to ensure reproducibility of the observed phenotypes, based on preliminary experiments and consistency across r
10.1038/s41586-025-09886-z	Insights into DNA repeat expansions among 900,000 biobank participants	8103	life_science	ambiguous	high	We used genome sequencing data from UK Biobank and All of Us, which were the largest WGS cohorts available to us and provided ample statistical power to identify genetic modifiers of somatic repeat ex
10.1038/s41586-025-09896-x	Mitochondrial transfer from glia to neurons protects against peripheral neuropathy	8103	life_science	ambiguous	high	No statistical calculation was used to predetermine sample size for in vitro and in vivo study. In samples for the in vitro experiments, sample sizes of at least n=3 (biologically independent replicat
10.1038/s41586-025-09906-y	Oral 4′-fluorouridine rescues nonhuman primates from advanced Lassa fever	8103	life_science	na_or_blank	medium	
10.1038/s41586-025-09907-x	Bidirectional CRISPR screens decode a GLIS3-dependent fibrotic cell circuit	8103	life_science	replication_standard	high	For mice, the minimal sample size was set the availability of mice for completing the experiment, with each treatment or genotype consisting of at least n=3. Inbred mice were used and sex-matched, all
10.1038/s41586-025-09925-9	A foundation model for continuous glucose monitoring data	8103	life_science	power_calc	high	This studies goal was to build a deep learning model using the HPP dataset, thus no prior knowledge on the expected effect sizes exists, or sample size calculation was done. Samples included in this s
10.1038/s41586-025-09933-9	Ultra-high-throughput mapping of genetic design space	8103	life_science	na_or_blank	medium	
10.1038/s41586-025-09943-7	CFAP20 salvages arrested RNAPII from the path of co-directional replisomes	8103	life_science	replication_standard	high	No statistical method was used to predetermine sample size. Sample sizes were chosen for the different experimental approaches based on the technical difficulty and throughput of the individual assays
10.1038/s41586-025-09963-3	Ligand-specific activation trajectories dictate GPCR signalling in cells	8103	life_science	na_or_blank	medium	
10.1038/s41586-025-09987-9	Ageing promotes microglial accumulation of slow-degrading synaptic proteins	8103	life_science	effect_size_estimate	high	No statistical methods were used for determining sample size. For most studies, sample size = 3 or 4 was selected because pilot studies demonstrated that 3 replicates sufficed for sufficient replicati
10.1038/s41586-025-10001-5	Environmentally driven immune imprinting protects against allergy	8103	life_science	replication_standard	high	Sample sizes were chosen to give a minimum of n = 5 across a minimum of two independent experiments.
10.1038/s41586-025-10028-8	Tumour–brain crosstalk restrains cancer immunity via a sensory–sympathetic axis	8103	life_science	replication_standard	high	The sample sizes used in this paper were selected based on those used in previous publications (Jin et al. Cell 2019). Exact sample sizes are described in each figure legends or Methods.
10.1038/s41586-025-10074-2	Integrated structural dynamics uncover a new B12 photoreceptor activation mode	8103	life_science	methodology_determined	high	The number of collected and indexed images in TR-SFX experiments necessary to obtain statistically meaningful data has been judged according to the CC1/2 value. For all other experiments, the sample s
