doi	title	issue	subject_classification	sample_size_category	extraction_confidence	sample_size_raw
10.1038/s41586-025-09798-y	Gene-specific selective sweeps are pervasive across human gut microbiomes	8102	life_science	ambiguous	medium	Data collection
10.1038/s41586-025-09885-0	Evidence accumulation from experience and observation in the cingulate cortex	8102	life_science	ambiguous	high	We used n= 2 monkeys, with n=36 sessions. Number of sessions was sufficient to replicate findings by cross validation across sessions.
10.1038/s41586-025-09888-x	Plastic landmark anchoring in zebrafish compass neurons	8102	life_science	effect_size_estimate	high	Due to the novel nature of hte phenomenology we studied, it was difficult to estimate the effect size and individual variability beforehand. As such, we did not pre-calculate the sample size (the numb
10.1038/s41586-025-09893-0	Sustained HIV-1 remission after heterozygous CCR5Δ32 stem cell transplantation	8102	life_science	power_calc	high	Sample size calculation was not applicable, as this study focused on a single individual. For NK-cell phenotyping, sample size calculation was not applicable as this study was focused on one specific 
10.1038/s41586-025-09899-8	Stress controls heterochromatin inheritance via histone H3 ubiquitylation	8102	life_science	replication_standard	high	Sample size selection was based on experience from prior studies: [Sahu et al., 2024, Mol Cell (PMID: 39096900); Wei et al., 2021, Nat Cell Biol (PMID: 33574613); Holla et al., 2020, Cell (PMID: 31883
10.1038/s41586-025-09903-1	Intratumoural vaccination via checkpoint degradation-coupled antigen presentation	8102	life_science	effect_size_estimate	high	No statistical method was used to determine sample size. Sample size choice was based on our experience with variability in these assays and our ability to detect meaningful differences between treatm
10.1038/s41586-025-09910-2	Distinct neuronal populations in the human brain combine content and context	8102	life_science	ambiguous	high	Our analysis is based on a total of 3,109 units recorded in 49 experimental sessions from 16 epilepsy patients suffering from drug-resistant epilepsy and undergoing invasive seizure monitoring with th
10.1038/s41586-025-09923-x	Disease tolerance and infection pathogenesis age-related tradeoffs in mice	8102	life_science	na_or_blank	medium	
10.1038/s41586-025-09940-w	A nowhere-to-hide mechanism ensures complete piRNA-directed DNA methylation	8102	life_science	resource_constraint	high	Sample sizes were determined based on available biological material, with no statistical methods being used to pre-determine sample sizes. For each experiment requiring statistical quantification, thr
10.1038/s41586-025-09978-w	Oxygen-free metabolism in the bird inner retina supported by the pecten	8102	life_science	ambiguous	high	Each individual animal represent one data point.
10.1038/s41586-025-10020-2	Population-scale sequencing resolves determinants of persistent EBV DNA	8102	life_science	power_calc	high	No pre-determined sample size was calculated for these analyses as analyses were retrospective from large cohorts. The sample sizes for genetic and phenotypic associations exceeded 490,000 from the UK
