doi	title	issue	subject_classification	sample_size_category	extraction_confidence	sample_size_raw
10.1038/s41586-025-09965-1	Polyamine-dependent metabolic shielding regulates alternative splicing	8106	life_science	replication_standard	high	For in vitro assays, sample size was determined by establishing a minimum of 3 biological replicates and asssessing data dispersion to increase the number of replicates accordingly. For in vivo assays
10.1038/s41586-025-09972-2	The transition from monocyte to tissue-resident macrophage requires DHPS	8106	life_science	replication_standard	high	No statistical method was used to predetermine sample size, but a minimum of three samples were used per experimental group and condition. Sample size for single cell RNA and bulk RNA sequencing was c
10.1038/s41586-025-09988-8	Fibroblastic reticular cells direct the initiation of T cell responses via CD44	8106	life_science	power_calc	high	Group sample sizes were chosen based on standards in the field and our previous studies where we used power analysis to estimate group sizes that would provide at least 80% power to detect statistical
10.1038/s41586-025-09997-7	Dissecting gene regulatory networks governing human cortical cell fate	8106	life_science	no_justification	high	4 individuals were collected for the initial Perturb-seq. Validation experiments focusing on top candidates were carried out using additional 13 individuals (2D single cell lineage tracing) in both hu
10.1038/s41586-025-10003-3	Convergent evolution of scavenger cell development at brain borders	8106	life_science	ambiguous	high	No sample-size calculations were conducted as generally large sample numbers were available and sufficient to provide robust statistical testing. In vivo experiments on zebrafish were conducted on at 
10.1038/s41586-025-10047-5	Developmental convergence and divergence in human stem cell models of autism	8106	life_science	resource_constraint	high	Sample size was not pre-calculated due to the nature of patient-derived organoid work. We aimed to maximize the sample size through patient recruitment. Our starting sample sizes have a wide range dep
10.1038/s41586-025-10050-w	Sleep-dependent clearance of brain lipids by peripheral blood cells	8106	life_science	resource_constraint	high	Sample sizes in each experiment were based on the number of samples that we were able to collect/dissect/process within 2hrs, while including all groups to be statistically compared to one-another. Al
10.1038/s41586-025-10052-8	GlycoRNA complexed with heparan sulfate regulates VEGF-A signalling	8106	life_science	replication_standard	high	No statistical methods were used to determine the sample size. All sample sizes were determined based on optimization experiments, previous experience, and published literature. For imaging sample siz
10.1038/s41586-025-10054-6	A cross-population compendium of gene–environment interactions	8106	life_science	resource_constraint	high	We used UK Biobank and Biobank Japan for discovery and replication. We analyzed unrelated individuals from all genetically European participants in the former and all genetically Japanese participants
10.1038/s41586-025-10061-7	Psychedelics elicit their effects by 5-HT2A receptor-mediated Gi signalling	8106	life_science	methodology_determined	high	For Glosensor, TRUPATH, BERT based Gα-Gγ dissociation or βarr2 recruitment, HiBiT-based surface expression, three independent experiments (n=3) were performed and used for the evaluation of S.E.M. as 
10.1038/s41586-026-10110-9	Reduced cyclin D3 expression in erythroid cells protects against malaria	8106	life_science	replication_standard	high	The sample size used for the GWAS and selection analyses corresponded to the vast majority (N=6,824) of participants in the SardiNIA cohort and was not determined a priori, although previous analyses 
10.1038/s41586-026-10155-w	Limited thermal tolerance in tropical insects and its genomic signature	8106	life_science	ambiguous	high	was 26 in the Neotropics and 15 in the Afrotropics; for few response variables the sample size was lower as data was missing for some study sites. The sample size is indicated for each response variab
